Date,Average Flow,Average Temperature,Average Temperature (K)
2021-Feb-01,77.44,2.32,275.47
2021-Feb-02,76.27,2.47,275.62
2021-Feb-03,73.63,2.33,275.48
2021-Feb-04,79.84,2.53,275.68
2021-Feb-05,74.46,2.58,275.73
2021-May-01,177.12,6.4,279.55
2021-May-02,216.34,6.17,279.32
2021-May-03,215.88,6.3,279.45
2021-May-04,224.9,6.16,279.31
2021-May-05,287.48,6.84,279.99
2021-Aug-01,577.63,17.23,290.38
2021-Aug-02,465.06,17.48,290.63
2021-Aug-03,573.18,17.86,291.01
2021-Aug-04,587.46,17.78,290.93
2021-Aug-05,642.14,17.78,290.93
2021-Nov-01,111.35,2.23,275.38
2021-Nov-02,122.66,2.34,275.49
2021-Nov-03,102.09,2.55,275.7
2021-Nov-04,110.39,3.13,276.28
2021-Nov-05,113.7,3.12,276.27
2022-Feb-01,103.63,3.23,276.38
2022-Feb-02,99.23,2.81,275.96
2022-Feb-03,119.42,2.57,275.72
2022-Feb-04,99.43,2.38,275.53
2022-Feb-05,102.75,2.54,275.69
2022-May-01,189.78,5.36,278.51
2022-May-02,174.87,6.25,279.4
2022-May-03,178.89,7.03,280.18
2022-May-04,172.43,7.08,280.23
2022-May-05,127.18,6.43,279.58
2023-Aug-01,662.52,17.23,290.38
2023-Aug-02,714.13,17.48,290.63
2023-Aug-03,707.66,17.86,291.01
2023-Aug-04,668.98,17.78,290.93
2023-Aug-05,661.26,17.78,290.93
2023-Aug-06,647.54,18.42,291.57
2023-Aug-08,563.91,18.94,292.09
2023-Aug-09,499.63,18.82,291.97
2023-Aug-10,521.37,17.87,291.02
2023-Aug-11,583.5,17.52,290.67
2023-Aug-12,618.93,18.31,291.46
2023-Aug-13,644.01,18.45,291.6
2023-Aug-15,696.54,19.39,292.54
2023-Aug-16,681.42,19.24,292.39
2023-Aug-17,700.05,18.75,291.9
2023-Aug-18,671.16,18.89,292.04
2023-Aug-19,627.95,16.16,289.31
2023-Aug-20,610.35,15.36,288.51
2023-Aug-22,506.85,16.93,290.08
2023-Aug-23,468.29,16.49,289.64
2023-Aug-24,501.66,16.05,289.2
2023-Aug-25,512.25,15.72,288.87
2023-Aug-26,551.51,16.69,289.84
2023-Aug-27,595.07,17.07,290.22
2023-Aug-29,535.17,17.38,290.53
2023-Aug-30,382.96,17.23,290.38
2023-Sep-01,286.49,15.58,288.73
2023-Sep-02,343.98,15.69,288.84
2023-Sep-03,370.57,16.2,289.35
2023-Sep-04,358.25,16.36,289.51
2023-Sep-05,386.64,16.08,289.23
2023-Sep-06,424.31,15.53,288.68
2023-Sep-08,411.07,15.26,288.41
2023-Sep-09,431.41,15.48,288.63
2023-Sep-10,437.18,15.76,288.91
2023-Sep-11,420.57,16.49,289.64
2023-Sep-12,358.95,16.5,289.65
2023-Sep-13,322.6,16.5,289.65
2023-Sep-15,407.86,15.47,288.62
2023-Sep-16,405.69,16.03,289.18
2023-Sep-17,417.42,16.64,289.79
2023-Sep-18,352.9,16.26,289.41
2023-Sep-19,268.56,13.16,286.31
2023-Sep-20,165.89,11.34,284.49
2023-Sep-22,166.12,10.51,283.66
2023-Sep-23,125.5,10.82,283.97
2023-Sep-24,117.59,11.88,285.03
2023-Sep-25,113.97,12.09,285.24
2023-Sep-26,94.53,12.08,285.23
2023-Sep-27,106.01,12.1,285.25
2023-Sep-29,118.57,11.1,284.25
2023-Sep-30,112.83,10.38,283.53
2023-Oct-01,124.6,9.72,282.87
2023-Oct-02,124.54,9.2,282.35
2023-Oct-03,110.29,9.27,282.42
2023-Oct-04,128.46,9.88,283.03
2023-Oct-06,120.49,11.05,284.2
2023-Oct-07,120.03,10.54,283.69
2023-Oct-08,113.78,10.01,283.16
2023-Oct-09,120.69,9.96,283.11
2023-Oct-10,117.64,10.3,283.45
2023-Oct-11,114.79,10.71,283.86
2023-Oct-13,78.96,8.96,282.11
2023-Oct-14,83.08,8.75,281.9
2023-Oct-15,75.52,8.98,282.13
2023-Oct-16,97.22,9.36,282.51
2023-Oct-17,98.11,9.91,283.06
2023-Oct-18,94.05,9.89,283.04
2023-Oct-20,100.27,10.25,283.4
2023-Oct-21,98.12,9.65,282.8
2023-Oct-22,100.74,9.31,282.46
2023-Oct-23,183.87,8.46,281.61
2023-Oct-24,233.59,8.03,281.18
2023-Oct-25,165.51,7.92,281.07
2023-Nov-01,60.5,2.23,275.38
2023-Nov-02,65.18,2.34,275.49
2023-Nov-03,68.14,2.55,275.7
2023-Nov-04,65.64,3.13,276.28
2023-Nov-16,72.86,3.5,276.65
2023-Nov-17,73.35,2.53,275.68
2023-Nov-18,64.51,2.01,275.16
2023-Nov-19,61.77,1.79,274.94
2023-Nov-20,76.08,2.23,275.38
2023-Nov-21,60.15,3.18,276.33
2023-Nov-22,37.78,4.1,277.25
2023-Nov-23,55.08,3.23,276.38
2023-Nov-24,51.27,2.97,276.12
2023-Nov-25,63.82,2.71,275.86
2023-Nov-26,52.79,2.81,275.96
2023-Nov-27,51.4,2.85,276.0
2023-Nov-28,48.41,3.26,276.41
2023-Nov-29,43.19,3.27,276.42
2023-Dec-08,66.89,2.1,275.25
2023-Dec-09,62.7,2.1,275.25
2023-Dec-10,53.47,1.87,275.02
2023-Dec-11,68.85,1.8,274.95
2023-Dec-12,63.14,2.77,275.92
2023-Dec-13,56.92,3.0,276.15
2023-Dec-14,41.35,3.02,276.17
2023-Dec-21,20.2,2.09,275.24
2023-Dec-26,36.1,2.71,275.86
2023-Dec-29,30.63,3.24,276.39
2023-Dec-31,29.53,2.6,275.75
2024-Jan-02,31.0,3.09,276.24
2024-Jan-04,31.17,2.97,276.12
2024-Jan-05,31.59,2.77,275.92
2024-Jan-07,22.66,2.73,275.88
2024-Jan-08,34.46,3.07,276.22
2024-Jan-10,38.47,2.6,275.75
2024-Jan-11,31.69,1.98,275.13
2024-Jan-12,36.08,1.53,274.68
2024-Jan-14,28.97,1.24,274.39
2024-Jan-15,35.06,1.09,274.24
2024-Jan-17,28.11,1.6,274.75
2024-Jan-19,33.3,2.12,275.27
2024-Jan-20,30.23,1.66,274.81
2024-Jan-21,37.44,2.52,275.67
2024-Jan-30,49.43,2.57,275.72
2024-Jan-31,36.47,2.49,275.64
2024-Feb-01,46.87,2.46,275.61
2024-Feb-02,38.6,2.62,275.77
2024-Feb-03,42.81,2.79,275.94
2024-Feb-04,39.91,2.61,275.76
2024-Feb-05,46.24,2.83,275.98
2024-Feb-06,32.6,2.17,275.32
2024-Feb-07,47.01,2.42,275.57
2024-Feb-08,32.54,2.79,275.94
2024-Feb-09,48.7,2.95,276.1
2024-Feb-10,42.41,3.31,276.46
2024-Feb-11,40.82,2.69,275.84
2024-Feb-12,41.53,3.1,276.25
2024-Feb-13,48.53,3.29,276.44
2024-Feb-14,36.97,2.81,275.96
2024-Feb-15,38.86,2.39,275.54
2024-Feb-16,39.13,1.74,274.89
2024-Feb-17,44.12,2.47,275.62
2024-Feb-18,27.81,1.75,274.9
2024-Feb-19,45.21,2.16,275.31
2024-Feb-20,34.44,2.62,275.77
2024-Feb-21,45.21,3.57,276.72
2024-Feb-22,33.42,3.11,276.26
2024-Feb-23,43.44,3.66,276.81
2024-Feb-24,40.81,3.0,276.15
2024-Feb-25,46.35,3.78,276.93
2024-Feb-26,43.09,3.0,276.15
2024-Feb-27,40.62,2.72,275.87
2024-Feb-28,45.73,3.19,276.34
2024-Feb-29,35.16,2.69,275.84
2024-Mar-01,47.96,3.23,276.38
2024-Mar-02,41.05,3.64,276.79
2024-Mar-03,38.84,3.06,276.21
