Date,Average Flow,Average Temperature,Average Flow Scaled,Cluster,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob,Cluster_3_Prob,Cluster Name,Average Temperature (K),k
2021-02-01,77.44,2.32,-0.5677031120104947,0,0.9897159653513844,0.0102545241578523,1.713297141918346e-27,2.9510490763219e-05,Lower-Medium,275.47,1.041
2021-02-02,76.27,2.47,-0.5733264798914692,0,0.989726500080686,0.0102118297693222,1.356185397227544e-27,6.167014999159374e-05,Lower-Medium,275.62,1.054
2021-02-03,73.63,2.33,-0.586015104853668,0,0.9895496713672136,0.0101497976138889,8.016787087718849e-28,0.0003005310188976,Lower-Medium,275.48,1.042
2021-02-04,79.84,2.53,-0.5561679984084957,0,0.9896209343920944,0.010372983510816,2.77164055228519e-27,6.082097089456815e-06,Lower-Medium,275.68,1.059
2021-02-05,74.46,2.58,-0.58202587806631,0,0.989650782710636,0.0101643763085441,9.455380731452052e-28,0.0001848409808197,Lower-Medium,275.73,1.064
2021-05-01,177.12,6.4,-0.0886113937408064,0,0.6663199088619775,0.3336800911380226,3.437570920489476e-18,4.734210850797032e-67,Lower-Medium,279.55,1.45
2021-05-02,216.34,6.17,0.0998915877051924,1,0.0604969702299345,0.939503029770061,4.6691172091480446e-15,5.9098423237190025e-111,Upper-Medium,279.32,1.423
2021-05-03,215.88,6.3,0.097680690931476,1,0.0631961158674814,0.9368038841325144,4.342714891135757e-15,2.26033251440499e-110,Upper-Medium,279.45,1.438
2021-05-04,224.9,6.16,0.1410334928856553,1,0.0256905156849151,0.9743094843150673,1.7460349549420712e-14,4.437835945316203e-122,Upper-Medium,279.31,1.422
2021-05-05,287.48,6.84,0.441811580057777,1,8.108068845256584e-06,0.9999918918279492,1.0320545339630367e-10,2.1126295859891783e-219,Upper-Medium,279.99,1.501
2021-08-01,577.63,17.23,1.836358751566104,2,3.901877241835894e-38,0.3448315439436688,0.6551684560563311,0.0,High,290.38,3.335
2021-08-02,465.06,17.48,1.295313860659013,1,2.830520723316401e-22,0.9950518022406838,0.0049481977593163,0.0,Upper-Medium,290.63,3.397
2021-08-03,573.18,17.86,1.814970728429064,2,2.0740790978405506e-37,0.3812111369571958,0.618788863042804,0.0,High,291.01,3.494
2021-08-04,587.46,17.78,1.883604654360958,2,9.244854660961108e-40,0.2754898722294393,0.7245101277705608,0.0,High,290.93,3.474
2021-08-05,642.14,17.78,2.1464129925931665,2,3.0665200676146226e-49,0.0991782454956653,0.9008217545043348,0.0,High,290.93,3.474
2021-11-01,111.35,2.23,-0.4047215694089184,0,0.98256577635239,0.0174342236476099,1.8647906442900723e-24,1.332365144778574e-18,Lower-Medium,275.38,1.033
2021-11-02,122.66,2.34,-0.3503623465594985,0,0.975232244279682,0.0247677557203181,2.1051066040550225e-23,8.388191283397924e-25,Lower-Medium,275.49,1.043
2021-11-03,102.09,2.55,-0.4492278827232975,0,0.9860551684780658,0.0139448315218987,2.65030525780348e-25,3.5448519292113185e-14,Lower-Medium,275.7,1.061
2021-11-04,110.39,3.13,-0.4093356148497179,0,0.9830108237128308,0.0169891762871692,1.5211374378740464e-24,4.079745836799048e-18,Lower-Medium,276.28,1.113
2021-11-05,113.7,3.12,-0.3934267706736277,0,0.981377719048248,0.0186222809517521,3.074477367932001e-24,8.096309553686503e-20,Lower-Medium,276.27,1.112
2022-02-01,103.63,3.23,-0.4418261848286816,0,0.985586024268534,0.0144139757314588,3.658361747597072e-25,7.151064627822066e-15,Lower-Medium,276.38,1.122
2022-02-02,99.23,2.81,-0.4629738930990129,0,0.9868296619295216,0.0131703380698507,1.459833292492441e-25,6.276102654109283e-13,Lower-Medium,275.96,1.084
2022-02-03,119.42,2.57,-0.365934749922197,0,0.9777958484200944,0.0222041515799054,1.04660440972151e-23,6.160637192940482e-23,Lower-Medium,275.72,1.063
2022-02-04,99.43,2.38,-0.4620126336321796,0,0.9867793414353966,0.0132206585640879,1.5218528540159323e-25,5.155021973450694e-13,Lower-Medium,275.53,1.046
2022-02-05,102.75,2.54,-0.4460557264827478,0,0.9858588156457764,0.0141411843542054,3.042610372629725e-25,1.7932064237720804e-14,Lower-Medium,275.69,1.06
2022-05-01,189.78,5.36,-0.0277636694902621,1,0.4257523686402645,0.5742476313597353,4.5895278800274516e-17,6.226150807550744e-80,Upper-Medium,278.51,1.334
2022-05-02,174.87,6.25,-0.0994255627426804,0,0.7018081117497912,0.2981918882502086,2.122934419336861e-18,6.88423086669585e-65,Lower-Medium,279.4,1.432
2022-05-03,178.89,7.03,-0.0801042474593323,0,0.6364102145135417,0.3635897854864584,5.0035625454727135e-18,8.860614595668874e-69,Lower-Medium,280.18,1.524
2022-05-04,172.43,7.08,-0.1111529282380459,0,0.736940456204442,0.2630595437955579,1.2521628831028352e-18,1.3827830139592612e-62,Lower-Medium,280.23,1.53
2022-05-05,127.18,6.43,-0.3286378826090672,0,0.9708227229649816,0.0291772770350182,5.612615860379156e-23,1.5860133355444911e-27,Lower-Medium,279.58,1.453
2023-08-01,662.52,17.23,2.244365332263474,2,6.326784655537442e-53,0.0815408843002168,0.9184591156997832,0.0,High,290.38,3.335
2023-08-02,714.13,17.48,2.4924183376797924,2,1.3799839557699284e-62,0.0857040296474118,0.9142959703525884,0.0,High,290.63,3.397
2023-08-03,707.66,17.86,2.4613215939277366,2,2.380859399945335e-61,0.0815720360882785,0.9184279639117212,0.0,High,291.01,3.494
2023-08-04,668.98,17.78,2.275414013042188,2,4.14448917115239e-54,0.0785770574037706,0.9214229425962296,0.0,High,290.93,3.474
2023-08-05,661.26,17.78,2.2383093976224244,2,1.0744872447985436e-52,0.0822490779972882,0.9177509220027118,0.0,High,290.93,3.474
2023-08-06,647.54,18.42,2.172366998197664,2,3.291990862502365e-50,0.0930914893963904,0.9069085106036096,0.0,High,291.57,3.641
2023-08-08,563.91,18.94,1.7704163521413434,2,6.389188526307034e-36,0.4660636311127697,0.5339363688872303,0.0,High,292.09,3.783
2023-08-09,499.63,18.82,1.4614675595011393,1,1.3020423705070574e-26,0.9544764125440558,0.0455235874559439,0.0,Upper-Medium,291.97,3.75
2023-08-10,521.37,17.87,1.565956463545913,1,1.469337584248517e-29,0.8604014964603259,0.1395985035396741,0.0,Upper-Medium,291.02,3.497
2023-08-11,583.5,17.52,1.86457171691766,2,4.209716224760988e-39,0.3015927007050675,0.6984072992949325,0.0,High,290.67,3.407
2023-08-12,618.93,18.31,2.0348588314671683,2,3.883485105099909e-45,0.1420820739476295,0.8579179260523705,0.0,High,291.46,3.612
2023-08-13,644.01,18.45,2.1554007686080574,2,1.417841364577577e-49,0.0969380948547168,0.9030619051452832,0.0,High,291.6,3.649
2023-08-15,696.54,19.39,2.4078755675718084,2,3.0563952664191413e-59,0.0771082284093705,0.9228917715906294,0.0,High,292.54,3.909
2023-08-16,681.42,19.24,2.335204351879215,2,2.076498637078156e-56,0.0757589507337792,0.9242410492662207,0.0,High,292.39,3.867
2023-08-17,700.05,18.75,2.424745671214732,2,6.637836290339061e-60,0.0781814003375834,0.9218185996624164,0.0,High,291.9,3.73
2023-08-18,671.16,18.89,2.28589174123067,2,1.6457114346025826e-54,0.0778170696947302,0.9221829303052698,0.0,High,292.04,3.769
2023-08-19,627.95,16.16,2.0782116334213483,2,1.0171291718822855e-46,0.1215941547429027,0.8784058452570973,0.0,High,289.31,3.08
2023-08-20,610.35,15.36,1.9936208003400224,2,1.1972246294252297e-43,0.1675382081311252,0.8324617918688746,0.0,High,288.51,2.901
2023-08-22,506.85,16.93,1.4961690262538194,1,1.4333537942112338e-27,0.9321011610567472,0.0678988389432527,0.0,Upper-Medium,290.08,3.262
2023-08-23,468.29,16.49,1.3108382010483703,1,1.1565493105268663e-22,0.9937951772385168,0.0062048227614831,0.0,Upper-Medium,289.64,3.157
2023-08-24,501.66,16.05,1.471224343089497,1,7.033364214830484e-27,0.9489309480260112,0.0510690519739887,0.0,Upper-Medium,289.2,3.055
2023-08-25,512.25,15.72,1.522123031858317,1,2.670279397286127e-28,0.9100022618259148,0.089997738174085,0.0,Upper-Medium,288.87,2.98
2023-08-26,551.51,16.69,1.7108182651976824,1,5.535593327458451e-34,0.5923048379507246,0.4076951620492752,0.0,Upper-Medium,289.84,3.204
2023-08-27,595.07,17.07,1.920180577073963,2,4.877692827803291e-41,0.2319696331475185,0.7680303668524814,0.0,High,290.22,3.296
2023-08-29,535.17,17.38,1.6322833667574064,1,1.5589521905098064e-31,0.7540971701079898,0.2459028298920101,0.0,Upper-Medium,290.53,3.372
2023-08-30,382.96,17.23,0.900716849523967,1,1.795622166197443e-13,0.9999950598422432,4.9401575769823244e-06,0.0,Upper-Medium,290.38,3.335
2023-09-01,286.49,15.58,0.4370533456969525,1,9.413588502713397e-06,0.9999905863206138,9.088365465306038e-11,1.2085184848891786e-217,Upper-Medium,288.73,2.949
2023-09-02,343.98,15.69,0.7133673794381682,1,5.180286753016173e-10,0.9999999129075784,8.657439300556748e-08,0.0,Upper-Medium,288.84,2.974
2023-09-03,370.57,16.2,0.8411668255536476,1,2.536084135532051e-12,0.9999985593573996,1.44064006439727e-06,0.0,Upper-Medium,289.35,3.089
2023-09-04,358.25,16.36,0.7819532423967199,1,3.17173714573796e-11,0.9999995971897774,4.027785055098189e-07,0.0,Upper-Medium,289.51,3.126
2023-09-05,386.64,16.08,0.9184040237136988,1,8.010625524139628e-14,0.9999929440601524,7.055939767326969e-06,0.0,Upper-Medium,289.23,3.062
2023-09-06,424.31,15.53,1.09945724429174,1,1.1973956596320345e-17,0.9997890906550124,0.0002109093449876,0.0,Upper-Medium,288.68,2.938
2023-09-08,411.07,15.26,1.0358218675873794,1,2.964947552795138e-16,0.9999326755028296,6.732449717019468e-05,0.0,Upper-Medium,288.41,2.879
2023-09-09,431.41,15.48,1.1335819553643205,1,2.036133554780931e-18,0.9996199162023992,0.0003800837976007,0.0,Upper-Medium,288.63,2.927
2023-09-10,437.18,15.76,1.1613142909824592,1,4.70079166767588e-19,0.9993939508904331,0.0006060491095669,0.0,Upper-Medium,288.91,2.989
2023-09-11,420.57,16.49,1.0814816922619583,1,3.001661733745151e-17,0.9998463596850744,0.0001536403149256,0.0,Upper-Medium,289.64,3.157
2023-09-12,358.95,16.5,0.7853176505306363,1,2.755482261365778e-11,0.9999995663773394,4.3359510557160123e-07,0.0,Upper-Medium,289.65,3.159
2023-09-13,322.6,16.5,0.6106087424336946,1,2.6052447028771344e-08,0.9999999662977812,7.649771647447314e-09,2.8435677586628273e-286,Upper-Medium,289.65,3.159
2023-09-15,407.86,15.47,1.020393653144706,1,6.33713542739428e-16,0.9999493906182432,5.060938175603181e-05,0.0,Upper-Medium,288.62,2.925
2023-09-16,405.69,16.03,1.0099639879295652,1,1.0546685653922817e-15,0.9999583489683612,4.1651031637668e-05,0.0,Upper-Medium,289.18,3.05
2023-09-17,417.42,16.64,1.066341855659335,1,6.459741845020652e-17,0.9998827549654128,0.000117245034587,0.0,Upper-Medium,289.79,3.192
2023-09-18,352.9,16.26,0.7562395516589306,1,9.190684752204135e-11,0.999999771827086,2.280810074375952e-07,0.0,Upper-Medium,289.41,3.103
2023-09-19,268.56,13.16,0.3508764344953522,1,0.000124849400246,0.9998751505911508,8.602847234210772e-12,5.016256588419336e-187,Upper-Medium,286.31,2.457
2023-09-20,165.89,11.34,-0.1425861128034931,0,0.8140396637435428,0.1859603362564573,2.9805775829125764e-19,1.2558613805552193e-56,Lower-Medium,284.49,2.137
2023-09-22,166.12,10.51,-0.1414806644166348,0,0.8117294129812629,0.188270587018737,3.136094914565395e-19,7.845990825347595e-57,Lower-Medium,283.66,2.004
2023-09-23,125.5,10.82,-0.3367124621304664,0,0.9725887713069824,0.0274112286930175,3.895252345593325e-23,1.6939147457296494e-26,Lower-Medium,283.97,2.052
2023-09-24,117.59,11.88,-0.3747302740437211,0,0.9790607354576388,0.0209392645423612,7.063910263776314e-24,6.4827383980307e-22,Lower-Medium,285.03,2.227
2023-09-25,113.97,12.09,-0.3921290703934029,0,0.9812316683662624,0.0187683316337374,3.2566661785018944e-24,5.836013156351467e-20,Lower-Medium,285.24,2.264
2023-09-26,94.53,12.08,-0.4855634905695941,0,0.9878628987978308,0.012137101148808,5.51438371756535e-26,5.336113647104239e-11,Lower-Medium,285.23,2.262
2023-09-27,106.01,12.1,-0.4303871971733659,0,0.9847813230663416,0.0152186769336576,6.030683559901872e-25,5.59773209070868e-16,Lower-Medium,285.25,2.265
2023-09-29,118.57,11.1,-0.3700201026562383,0,0.978398561515482,0.0216014384845179,8.717997976563669e-24,1.850291472443487e-22,Lower-Medium,284.25,2.097
2023-09-30,112.83,10.38,-0.3976082493543524,0,0.9818345863339352,0.0181654136660646,2.5543756013999496e-24,2.3067357627565454e-19,Lower-Medium,283.53,1.984
2023-10-01,124.6,9.72,-0.341038129731216,0,0.9734706873802274,0.0265293126197725,3.204179102620623e-23,5.915005572903045e-26,Lower-Medium,282.87,1.884
2023-10-02,124.54,9.2,-0.341326507571266,0,0.973527970360578,0.0264720296394219,3.162760000065954e-23,6.426313114547723e-26,Lower-Medium,282.35,1.809
2023-10-03,110.29,9.27,-0.4098162445831345,0,0.9830559172353128,0.0169440827646871,1.4892302179184635e-24,4.580325561946644e-18,Lower-Medium,282.42,1.819
2023-10-04,128.46,9.88,-0.3224858220213344,0,0.9693641715596956,0.0306358284403043,7.417977340290363e-23,2.532938494392431e-28,Lower-Medium,283.03,1.908
2023-10-06,120.49,11.05,-0.3607920117746392,0,0.9769975672641108,0.0230024327358891,1.3177739416136368e-23,1.5182915122389597e-23,Lower-Medium,284.2,2.089
2023-10-07,120.03,10.54,-0.3630029085483556,0,0.9773463079400998,0.0226536920599003,1.1934511376582037e-23,2.778535710946809e-23,Lower-Medium,283.69,2.008
2023-10-08,113.78,10.01,-0.3930422668868945,0,0.981334658934783,0.018665341065217,3.1273618333008327e-24,7.348766486407959e-20,Lower-Medium,283.16,1.927
2023-10-09,120.69,9.96,-0.3598307523078059,0,0.9768432647139051,0.0231567352860947,1.3758211047059342e-23,1.1662441808961381e-23,Lower-Medium,283.11,1.92
